"name","n"
"David Spiegelhalter",1
"David V. Hinkley",1
"David van Dantzig",1
"David X. Li",1
"Davis Rich Dewey",1
"Dennis Trewin",1
"Derek Wanless",1
"Dietrich Stoyan",1
"Don Berry",1
"Donald Geman",1
"Donald J. Wheeler",1
"Donald Marquardt",1
"Doug Altman",1
"Dudley Ryder, 2nd Earl of Harrowby",1
"E. A. Wrigley",1
"E. J. G. Pitman",1
"E. Morton Jellinek",1
"Edith Abbott",1
"Edward C. Molina",1
"Edward Jones",1
"Edward Rowe Mores",1
"Edward Stanley, 15th Earl of Derby",1
"Edward Szturm de Sztrem",1
"Edward Tufte",1
"Edward Wegman",1
"Edwin Bidwell Wilson",1
"Edwin Thompson Jaynes",1
"Elizabeth Scott",1
"Elizur Wright",1
"Elżbieta Pleszczyńska",1
"Emanuel Parzen",1
"Emmanuel Candès",1
"Emmanuel Todd",1
"Emory McClintock",1
"Enid Charles",1
"Eric Ghysels",1
"Ernest Kurnow",1
"Ernst Behm",1
"Ernst Engel",1
"Esprit Jouffret",1
"Estate V. Khmaladze",1
"Étienne Laspeyres",1
"Eugene M. Kulischer",1
"François Simiand",1
"Frank Duckworth",1
"Frank Luntz",1
"Frank Redington",1
"Frank W. Notestein",1
"Frank Wilcoxon",1
"Frederic J. Mouat",1
"Frederic M. Lord",1
"Frederick B. Lindstrom",1
"Frederick Marquis, 1st Earl of Woolton",1
"Gabriel Gabrielsen Holtsmark",1
"Garrett Hardin",1
"Gauss Moutinho Cordeiro",1
"Gene V. Glass",1
"Geoff Bascand",1
"Geoffrey Grimmett",1
"Geoffrey Watson",1
"Georg Rasch",1
"George A. Milliken",1
"George Chalmers",1
"George Gallup",1
"George Goschen, 1st Viscount Goschen",1
"George Handley Knibbs",1
"George Henry Wood",1
"George Kingsley Zipf",1
"George Paine",1
"George Pólya",1
"George Shaw-Lefevre, 1st Baron Eversley",1
"Gertrude Mary Cox",1
"Gheorghe Mihoc",1
"Gilbert Walker",1
"Gilean McVean",1
"Giovanni Villani",1
"Gottfried Achenwall",1
"Gottfried E. Noether",1
"Grace Wahba",1
"Greg Lawler",1
"Griffith Davies",1
"Gustav Fechner",1
"Guy Nason",1
"Halbert L. Dunn",1
"Hans-Rudolf Künsch",1
"Harold F. Dodge",1
"Harry C. Carver",1
"Harry Campion",1
"Harry V. Roberts",1
"Harvey Goldstein",1
"Henry Fowler, 1st Viscount Wolverhampton",1
"Henry Heylyn Hayter",1
"Henry O. Pollak",1
"Henry Scheffé",1
"Herbert Marshall",1
"Herbert Robbins",1
"Herbert Samuel, 1st Viscount Samuel",1
"Herbert Sichel",1
"Herman Chernoff",1
"Herman Hollerith",1
"Herman Otto Hartley",1
"Hilton Young, 1st Baron Kennet",1
"Hirotsugu Akaike",1
"Holbrook Working",1
"Howard Raiffa",1
"Howell Tong",1
"Hubert Lilliefors",1
"Hugh Hedley Scurfield",1
"I. J. Good",1
"I. M. Rubinow",1
"Ian Castles",1
"Ibrahim Sirkeci",1
"Ion Ionescu de la Brad",1
"Irénée-Jules Bienaymé",1
"Ivan Fellegi",1
"Ivo Lah",1
"J. Michael Steele",1
"J. N. Srivastava",1
"Jack Hibbert",1
"Jacob Cohen",1
"Jacob Marschak",1
"Jahar Saha",1
"Jakob Mohn",1
